;id_professor;nome;ano;departamento
925;f4e1b123-d706-4d8c-8edb-8edb42216144;Retrato das egressas do curso de Jornalismo da Universidade Estadual de Ponta Grossa (2011-2017): desigualdades de genero no mercado de trabalho jornalistico;2020;Departamento de Jornalismo
926;f4e1b123-d706-4d8c-8edb-8edb42216144;O JORNALISMO INVESTIGATIVO EM REPORTAGENS E GRANDES REPORTAGENS DO JORNALISMO BRASILEIRO;2020;Departamento de Jornalismo
927;f4e1b123-d706-4d8c-8edb-8edb42216144;IDENTIFICACAO DE PERCURSOS DOS EGRESSOS DO CURSO DE JORNALISMO DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA - 2011 A 2017;2021;Departamento de Jornalismo
928;f4e1b123-d706-4d8c-8edb-8edb42216144;TELEJORNALISMO LOCAL: UM LEVANTAMENTO SOBRE AS MUDANCAS NOS PRODUTOS JORNALISTICOS NA CIDADE DE PONTA GROSSA ENTRE OS ANOS DE 2010 E 2022;2022;Departamento de Jornalismo
929;387e9d75-7c0e-4940-977a-aa3c6f6b07e1;Possibilidades de Consumo no Destino Ponta Grossa-PR sob o Conceito de Habitat de Compras Turisticas;2019;Departamento de Turismo
930;387e9d75-7c0e-4940-977a-aa3c6f6b07e1;O Potencial Turistico das Feiras de Artesanato no Destino Ponta Grossa-PR - uma analise sob a perspectiva do habitat de compras turisticas.;2019;Departamento de Turismo
931;387e9d75-7c0e-4940-977a-aa3c6f6b07e1;Analise da Imagem Turistica do Destino Ponta Grossa, no Parana.;2020;Departamento de Turismo
932;5f6a7bb5-74f4-497f-98c7-dbb4a45cac15;Efeitos da atividade fisica na saude mental;2022;Departamento de Educação Física
933;5cf57da4-727f-4198-8b8e-d81e68b8651c;AVALIACAO DO PERFIL GLICEMICO DE FILHOTES ORIUNDOS DE FEMEAS OBESAS TRATADAS COM KEFIR DURANTE A GESTACAO;2020;Departamento de Biologia Geral
934;5cf57da4-727f-4198-8b8e-d81e68b8651c;AVALIACAO DA EVOLUCAO DO PESO DA PROLE DE RATAS INDUZIDAS A OBESIDADE SUPLEMENTADAS COM KEFIR;2020;Departamento de Biologia Geral
935;5cf57da4-727f-4198-8b8e-d81e68b8651c;ISOLAMENTO E CARACTERIZACAO DE MICRORGANISMOS PRESENTES EM UMA AMOSTRA DE KEFIR;2021;Departamento de Biologia Geral
936;5cf57da4-727f-4198-8b8e-d81e68b8651c;Trauma de face: um estudo analitico do perfil socio demografico de mulheres vitimas de violencia domestica em Ponta Grossa- PR (2016-2020);2021;Departamento de Biologia Geral
937;5cf57da4-727f-4198-8b8e-d81e68b8651c;EFEITO DA SUPLEMENTACAO COM KEFIR DURANTE A GESTACAO EM FEMEAS ALIMENTADAS COM DIETA DE CAFETERIA;2021;Departamento de Biologia Geral
938;5cf57da4-727f-4198-8b8e-d81e68b8651c;TRAUMA DE FACE EM MULHERES VITIMAS DE VIOLENCIA DOMESTICA: UMA ANALISE DE CASOS EM TEMPOS DE PANDEMIA;2021;Departamento de Biologia Geral
939;5cf57da4-727f-4198-8b8e-d81e68b8651c;EFEITO DA ASSOCIACAO DE UMA DIETA ANTI-INFLAMATORIA E EXERCICIO FISICO NO PERFIL DA PROTEINA C REATIVA EM MULHERES COM SOBREPESO NA POS-MENOPAUSA;2022;Departamento de Biologia Geral
940;6501c2e6-3d4f-4b61-bcdd-c354a59b6db9;,O INDICE KT/V, O NIVEL DE ALBUMINA SERICA E A ASSOCIACAO COM A INCIDENCIA DE INFECCOES EM PACIENTES SUBMETIDOS A HEMODIALISE EM UMA CLINICA DE NEFROLOGIA NO ESTADO DO PARANA;2019;Departamento de Medicina
941;6501c2e6-3d4f-4b61-bcdd-c354a59b6db9;Desenvolvimento de aplicativo voltado para Mobile Learning no diagnostico de doencas cardiovasculares pela interpretacao de registros eletrocardiograficos;2019;Departamento de Medicina
942;6501c2e6-3d4f-4b61-bcdd-c354a59b6db9;Analise do perfil de pacientes com hipertensao arterial sistemica e grau de adesao ao tratamento no ambulatorio de cardiologia do Hospital Santa Casa de Misericordia de Ponta Grossa;2020;Departamento de Medicina
943;d951b229-b193-4767-9102-51b2e1dd135b;MULTILINGUISMO E EDUCACAO BASICA: UMA ABORDAGEM SOBRE POLITICA LINGUISTICA;2022;Departamento de Estudos da Linguagem
944;d951b229-b193-4767-9102-51b2e1dd135b;CONEXOES ENTRE POLITICA LINGUISTICA E ENSINO DE LINGUA PORTUGUESA: UM ESTUDO INICIAL;2022;Departamento de Estudos da Linguagem
945;6557b35b-a312-4dec-9b73-3096cce5c0f7;A producao de mel nos Campos Gerais numa leitura de historia ambiental: memorias e bibliografia (1950-2019);2019;Departamento de História
946;1c513dce-daee-483c-ad76-ffe41c5942e1;COMPORTAMENTO VENTRICULAR SISTOLICO ESQUERDO APOS CORRECAO VALVAR AORTICA;2019;Departamento de Medicina
947;1c513dce-daee-483c-ad76-ffe41c5942e1;Compatibilidade diagnostica e clinica entre o exame NT-proBNP e a ecocardiografia em pacientes idosos com insuficiencia cardiaca assintomatica;2019;Departamento de Medicina
948;1c513dce-daee-483c-ad76-ffe41c5942e1;RELACAO ENTRE AS COMORBIDADES E A ANGINA SEM LESAO CORONARIANA OBSTRUTIVA;2021;Departamento de Medicina
949;1c513dce-daee-483c-ad76-ffe41c5942e1;ANALISE DA INCIDENCIA DE PACIENTES COM ANGINA SEM LESAO CORONARIANA OBSTRUTIVA E QUALIDADE DE VIDA DE PACIENTES COM ANGINA;2021;Departamento de Medicina
950;1c513dce-daee-483c-ad76-ffe41c5942e1;AVALIACAO DAS COMORBIDADES EM PACIENTES COM ANGINA SEM LESAO CORONARIANA OBSTRUTIVA;2022;Departamento de Medicina
951;1c513dce-daee-483c-ad76-ffe41c5942e1;ANALISE DO TRATAMENTO E QUALIDADE DE VIDA EM PACIENTES COM ANGINA SEM LESAO CORONARIANA OBSTRUTIVA;2022;Departamento de Medicina
952;1c513dce-daee-483c-ad76-ffe41c5942e1;FUNCAO VENTRICULAR ESQUERDA APOS CIRURGIA DE REVASCULARIZACAO DO MIOCARDIO;2022;Departamento de Medicina
953;54b6291b-845b-4732-b6e2-9bd4fb6a84ba;DESENVOLVIMENTO DE COMPRIMIDOS A PARTIR DE NANOPARTICULAS DE EUDRAGIT CONTENDO ACIDO OLEICO;2019;Departamento de Ciências Farmacêuticas
954;54b6291b-845b-4732-b6e2-9bd4fb6a84ba;DESENVOLVIMENTO DE NANOPARTICULAS LIPIDICAS SOLIDAS REVESTIDAS COM QUITOSANA CONTENDO DESOXICOLATO DE SODIO PARA FINS ESTETICOS;2019;Departamento de Ciências Farmacêuticas
