;id_professor;nome;anopubli;valor;departamento
32;3bcbb6ac-c42a-4307-9d94-bb626a70afdb;Adubacao nitrogenada, uso de gesso e inoculacao de Azospirillum brasiliense em plantio direto;2014;0.01;Departamento de Ciências do Solo e Engenharia Agrícola
33;9686974c-79c6-408e-bfdf-542fc26f0992;Argamassas de cimento Portland sujeitas simultaneamente as reacoes alcali-agregado e ataque por sulfatos de origem interna: microestrutura, porosidade e absorcao;2017;12500.0;Departamento de Engenharia Civil
34;9686974c-79c6-408e-bfdf-542fc26f0992;Celulose Nanofibrilada em composito de cimento Portland: efeitos fisicos, quimico, microestruturais;2022;0.1;Departamento de Engenharia Civil
35;07dfe26d-2ae7-4eb7-ad04-7b0adef31fde;Potencializando os efeitos de A. brasilense na agricultura com hidrogeis biopolimericos;2023;66911.0;Departamento de Química
36;93e95675-0713-48d8-9d60-902d70582c1b;Difusao - Aspectos Teoricos e Experimentais;2023;67200.0;Departamento de Física
37;93e95675-0713-48d8-9d60-902d70582c1b;Processo difusos-equacoes de difusao e aplicacoes;2019;0.01;Departamento de Física
38;69c9072f-727c-4b0e-b7ec-3648aa31a285;Dietas com elevado teor de concentrado com grao inteiro ou moido para ovinos: consumo e digestibilidade dos nutrientes, caracteristicas de fermentacao ruminal e comportamento ingestivo;2017;24560.0;Departamento de Zootecnia
39;855f2602-c5b6-4eea-a49f-21476fc3ef1d;Engenharia de superficies com enfase em tratamentos assistidos por plasma;2017;0.1;Departamento de Física
40;1679f571-7772-4d23-a9cf-be40267a33b7;Comportamento tribomecanico de ligas titanio-niobio nitretadas por plasma para aplicacoes biomedicas;2022;0.01;Departamento de Física
41;18f51ae4-3e2d-4e4d-b42f-ecbaaca1c6bc;EspeleoPirai: patrimonio espeleologico arenitico da Escarpa Devoniana em Pirai da Serra/PR;2021;266660.0;Departamento de Geociências
42;d9caea90-4de4-4eb3-9414-9d5d0128bbfd;Avaliacao da atividade antioxidante, antimicrobiana e inibitoria da enzima conversora da angiotensina (ECA-I) de hidrolisados de diferentes colagenos obtidos por hidrolise enzimatica assistida por ultra-som;2014;30000.0;Departamento de Engenharia de Alimentos
43;d9caea90-4de4-4eb3-9414-9d5d0128bbfd;Expressao de genes relacionados com o crescimento muscular e estresse oxidativo, qualidade da carne;2017;0.01;Departamento de Engenharia de Alimentos
44;610031fb-54ef-4d42-b1e2-9e9cb5043103;Caracterizacao de interacoes moleculares ligadas ao processo de traducao, e ao complexo eIF4F, visando identificacao de alvos para o desenho racional de novos inibidores contra tripanosomatideos patogenicos;2022;0.01;Departamento de Química
45;cd6dbd63-0705-492b-a692-d25fadb82dac;Formacao de clusters e estados quimera em sistemas complexos;2022;0.01;Departamento de Matemática e Estatística
46;c20699cc-9ead-4c2a-bc8e-64a2282f9e9c;Resistencia a antracnose do colrro em milho tropical: heranca genetica, mapeamento de QTLs e expressao diferencial de genes;2019;0.01;Departamento de Fitotecnia e Fitossanidade/DEFITO
47;52cc1694-e304-4872-8a52-5a9ea0c64c2a;Aplicabilidade da nanocelulose nos setores produtivos do Estado do Parana;2018;270000.0;Departamento de Engenharia de Materiais
48;52cc1694-e304-4872-8a52-5a9ea0c64c2a;Nanocelulose a partir de biomassa: obtencao e utilizacao em nanocompositos de matriz polimerica;2015;0.05;Departamento de Engenharia de Materiais
49;52cc1694-e304-4872-8a52-5a9ea0c64c2a;Nanocelulose: otimizacao do processo de extracao e de propriedades para variadas aplicacoes;2018;0.01;Departamento de Engenharia de Materiais
